epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,961.241,1.16067,1.41369,1.28827,0.67344,0.09652,0.19172,0.07865,2.3649,3.38411,2.36619,0.00040605,0.00040605,0.00040605
43,983.415,1.20787,1.35898,1.2644,0.42318,0.13382,0.18973,0.07659,2.35115,3.36184,2.34466,0.000409022,0.000409022,0.000409022
44,1006,1.31209,1.41393,1.3285,0.4242,0.10882,0.17154,0.08,2.30834,3.42993,2.34304,0.000411664,0.000411664,0.000411664
45,1028.16,1.12635,1.40198,1.23892,0.44125,0.12132,0.17301,0.07494,2.30916,3.48578,2.40793,0.000413976,0.000413976,0.000413976
46,1051.51,1.27625,1.45248,1.37674,0.55177,0.10457,0.17682,0.06303,2.32437,3.54087,2.45568,0.000415958,0.000415958,0.000415958
47,1073.35,1.26996,1.37107,1.32108,0.53618,0.05,0.16204,0.05927,2.30274,3.54394,2.44809,0.00041761,0.00041761,0.00041761
48,1096.8,1.25378,1.34437,1.31442,0.54503,0.075,0.14616,0.05936,2.34602,3.52401,2.52131,0.000418932,0.000418932,0.000418932
49,1122.76,1.24214,1.33618,1.27784,0.53807,0.075,0.14662,0.05936,2.29622,3.49693,2.42,0.000419924,0.000419924,0.000419924
50,1144.94,1.18446,1.52102,1.33141,0.5452,0.0875,0.15894,0.06292,2.2939,3.48172,2.36165,0.000420586,0.000420586,0.000420586
51,1169.07,1.06117,1.21906,1.23075,0.5452,0.0875,0.15894,0.06292,2.2939,3.48172,2.36165,0.000420918,0.000420918,0.000420918
52,1196.99,1.13818,1.24528,1.21632,0.58688,0.1375,0.17872,0.07413,2.23576,3.37797,2.27937,0.000420919,0.000420919,0.000420919
53,1220.12,1.09373,1.24373,1.18341,0.58688,0.1375,0.17872,0.07413,2.23576,3.37797,2.27937,0.000420591,0.000420591,0.000420591
54,1243.78,1.16172,1.26931,1.23354,0.37821,0.19191,0.20515,0.0891,2.29398,3.26652,2.34253,0.000419932,0.000419932,0.000419932
55,1268.86,1.10336,1.19403,1.224,0.37821,0.19191,0.20515,0.0891,2.29398,3.26652,2.34253,0.000418944,0.000418944,0.000418944
56,1291.71,1.21446,1.34382,1.30497,0.3277,0.17941,0.2417,0.08275,2.35187,3.19901,2.36595,0.000417625,0.000417625,0.000417625
57,1314.13,1.10573,1.25629,1.23125,0.3277,0.17941,0.2417,0.08275,2.35187,3.19901,2.36595,0.000415977,0.000415977,0.000415977
58,1336.98,1.0636,1.18961,1.23595,0.31188,0.19369,0.2676,0.09494,2.45454,3.22645,2.43525,0.000413998,0.000413998,0.000413998
59,1359.78,1.22927,1.2221,1.30781,0.31188,0.19369,0.2676,0.09494,2.45454,3.22645,2.43525,0.000411689,0.000411689,0.000411689
60,1382.64,1.18128,1.2462,1.26777,0.36283,0.19191,0.26772,0.0863,2.49832,3.23991,2.45411,0.00040905,0.00040905,0.00040905
61,1405.58,1.04814,1.16165,1.16335,0.36283,0.19191,0.26772,0.0863,2.49832,3.23991,2.45411,0.000406081,0.000406081,0.000406081
62,1429.66,1.09583,1.28435,1.22134,0.53826,0.16691,0.20214,0.08279,2.48039,3.24405,2.42178,0.000402782,0.000402782,0.000402782
63,1452.73,1.18742,1.26598,1.28548,0.53826,0.16691,0.20214,0.08279,2.48039,3.24405,2.42178,0.000399153,0.000399153,0.000399153
64,1475.89,1.14194,1.16903,1.19803,0.49829,0.15441,0.25303,0.0973,2.41844,3.22867,2.30436,0.000395194,0.000395194,0.000395194
65,1499.26,1.04095,1.18414,1.1671,0.49829,0.15441,0.25303,0.0973,2.41844,3.22867,2.30436,0.000390905,0.000390905,0.000390905
66,1522.27,0.99207,1.08792,1.15464,0.61862,0.16691,0.25223,0.09206,2.29753,3.20314,2.21009,0.000386286,0.000386286,0.000386286
67,1545.35,1.05109,1.1995,1.20337,0.61862,0.16691,0.25223,0.09206,2.29753,3.20314,2.21009,0.000381336,0.000381336,0.000381336
68,1568.6,0.99656,1.10652,1.15253,0.60336,0.1846,0.27371,0.08782,2.27437,3.20253,2.15738,0.000376057,0.000376057,0.000376057
69,1591.65,0.95205,1.14439,1.20133,0.60336,0.1846,0.27371,0.08782,2.27437,3.20253,2.15738,0.000370447,0.000370447,0.000370447
70,1614.97,1.03894,1.14535,1.15715,0.60486,0.18098,0.26304,0.0861,2.24979,3.20944,2.13037,0.000364508,0.000364508,0.000364508
